player,icon_club,tier,ovr,attack,defense,creation,gk,position,role,note
Lionel Andrés Messi Cuccittini,Barcelona,generational,97,,,,,Forward,,
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,generational,96,,,,,Forward,,
Ronaldo de Assis Moreira,Barcelona,generational,95,,,,,Midfielder,,Ronaldinho
Zlatan Ibrahimović,Milan,elite,94,,,,,Forward,,
Thierry Henry,Arsenal,generational,95,,,,,Forward,,
Luis Alberto Suárez Díaz,Barcelona,elite,94,,,,,Forward,,
Samuel Eto''o Fils,Barcelona,elite,93,,,,,Forward,,
Neymar da Silva Santos Junior,Barcelona,elite,94,,,,,Forward,,
Sergio Leonel Agüero del Castillo,Manchester City,elite,93,,,,,Forward,,
Edinson Roberto Cavani Gómez,Paris SG,elite,92,,,,,Forward,,
Karim Benzema,Real Madrid,elite,93,,,,,Forward,,
Gareth Frank Bale,Real Madrid,elite,92,,,,,Forward,,
Arjen Robben,Bayern Munich,elite,93,,,,,Forward,,
Franck Bilal Ribéry,Bayern Munich,elite,92,,,,,Midfielder,,
Radamel Falcao García Zárate,Atlético Madrid,elite,91,,,,,Forward,,
Alexis Alejandro Sánchez Sánchez,Arsenal,elite,90,,,,,Forward,,
Fernando Torres,Liverpool,elite,90,,,,,Forward,,
Eden Hazard,Chelsea,elite,92,,,,,Midfielder,,
Ángel Fabián Di María Hernández,Real Madrid,elite,91,,,,,Midfielder,,
David Villa Sánchez,Valencia,elite,90,,,,,Forward,,
Xavier Hernández Creus,Barcelona,generational,95,,,,,Midfielder,,
Andrés Iniesta Luján,Barcelona,generational,94,,,,,Midfielder,,
Sergio Busquets i Burgos,Barcelona,elite,90,,,,,Midfielder,,
Francesco Totti,Roma,generational,93,,,,,Midfielder,,
Mesut Özil,Real Madrid,elite,90,,,,,Midfielder,,
Toni Kroos,Real Madrid,elite,92,,,,,Midfielder,,
David Silva,Manchester City,elite,92,,,,,Midfielder,,
Xabi Alonso,Real Madrid,elite,90,,,,,Midfielder,,
Gnégnéri Yaya Touré,Manchester City,elite,90,,,,,Midfielder,,
Marco Reus,Dortmund,elite,89,,,,,Midfielder,,
Antoine Griezmann,Atlético Madrid,elite,91,,,,,Forward,,
Robert Lewandowski,Bayern Munich,generational,95,,,,,Forward,,
Carles Puyol i Saforcada,Barcelona,elite,91,,,,,Defender,,
Gerard Piqué Bernabéu,Barcelona,elite,91,,,,,Defender,,
Sergio Ramos García,Real Madrid,generational,93,,,,,Defender,,
Dani Alves,Barcelona,elite,91,,,,,Defender,,
Marcelo Vieira da Silva Júnior,Real Madrid,elite,90,,,,,Defender,,
Philipp Lahm,Bayern Munich,elite,91,,,,,Defender,,
John Terry,Chelsea,elite,89,,,,,Defender,,
Giorgio Chiellini,Juventus,elite,90,,,,,Defender,,
Leonardo Bonucci,Juventus,elite,88,,,,,Defender,,
Javier Alejandro Mascherano,Barcelona,elite,88,,,,,Defender,,
Gianluigi Buffon,Juventus,generational,93,,,,,Goalkeeper,,
Petr Čech,Chelsea,elite,90,,,,,Goalkeeper,,
Zinedine Zidane,Real Madrid,generational,96,92,58,96,,Midfielder,Mediapunta,muestra insuficiente en los datos
Ronaldo Luíz Nazário de Lima,Real Madrid,generational,96,97,42,80,,Forward,Killer,muestra insuficiente en los datos
Ricardo Izecson dos Santos Leite,Milan,generational,93,88,52,93,,Midfielder,Mediapunta,Kaká — muestra insuficiente
Andrea Pirlo,Milan,generational,92,72,64,95,,Midfielder,Pivote organizador,muestra insuficiente
Steven Gerrard,Liverpool,generational,92,84,74,90,,Midfielder,Box-to-box,muestra insuficiente
Frank Lampard,Chelsea,elite,91,86,68,88,,Midfielder,Creador,muestra insuficiente
Didier Yves Drogba Tébily,Chelsea,generational,92,93,56,74,,Forward,Killer,muestra insuficiente
Iker Casillas Fernández,Real Madrid,generational,93,,,,92,Goalkeeper,Portero,muestra insuficiente
Paolo Maldini,Milan,generational,94,58,94,78,,Defender,Central stopper,muestra insuficiente
Alessandro Nesta,Milan,elite,91,50,92,70,,Defender,Central stopper,muestra insuficiente
Raúl González Blanco,Real Madrid,elite,91,90,50,80,,Forward,Killer,muestra insuficiente
Ruud van Nistelrooy,Manchester United,elite,91,93,44,68,,Forward,Killer,muestra insuficiente
Andriy Shevchenko,Milan,elite,91,92,46,72,,Forward,Killer,muestra insuficiente
Wesley Sneijder,Internazionale,elite,89,80,58,91,,Midfielder,Mediapunta,muestra insuficiente
Diego Forlán Corazo,Atlético Madrid,elite,88,89,48,76,,Forward,Killer,muestra insuficiente
Carlos Alberto Tevez,Manchester City,elite,89,90,62,78,,Forward,Killer,muestra insuficiente
