label,player
Ajax 2019,André Onana
Ajax 2019,Noussair Mazraoui
Ajax 2019,Matthijs de Ligt
Ajax 2019,Daley Blind
Ajax 2019,Nicolás Tagliafico
Ajax 2019,Frenkie de Jong
Ajax 2019,Lasse Schöne
Ajax 2019,Donny van de Beek
Ajax 2019,Hakim Ziyech
Ajax 2019,Dušan Tadić
Ajax 2019,Kasper Dolberg
Ajax 2019,Klaas-Jan Huntelaar
Ajax 2019,Joël Veltman
Ajax 2019,Sergiño Dest
Porto 2004,Vítor Manuel Martins Baía
Porto 2004,Paulo Renato Rebocho Ferreira
Porto 2004,Jorge Paulo Costa Almeida
Porto 2004,Nuno Jorge Pereira Silva Valente
Porto 2004,Pedro Emanuel dos Santos Martins
Porto 2004,Francisco José Rodrigues da Costa
Porto 2004,Pedro Miguel da Silva Mendes
Porto 2004,Dmitriy Alenichev
Porto 2004,Carlos Alberto Gomes de Jesus
Porto 2004,Benni McCarthy
Porto 2004,Vanderlei Fernandes Silva
Milan 2007,Massimo Oddo
Milan 2007,Alessandro Nesta
Milan 2007,Paolo Maldini
Milan 2007,Marek Jankulovski
Milan 2007,Ivan Gennaro Gattuso
Milan 2007,Andrea Pirlo
Milan 2007,Clarence Seedorf
Milan 2007,Ricardo Izecson dos Santos Leite
Milan 2007,Filippo Inzaghi
Milan 2007,Alberto Gilardino
Milan 2007,Cafu
Milan 2007,Andriy Shevchenko
Milan 2007,Christian Abbiati
Inter 2010,Maicon Douglas Sisenando
Inter 2010,Walter Adrián Samuel Luján
Inter 2010,Cristian Eugen Chivu
Inter 2010,Javier Aldemar Zanetti
Inter 2010,Esteban Matías Cambiasso
Inter 2010,Thiago Motta
Inter 2010,Wesley Sneijder
Inter 2010,Diego Alberto Milito
Inter 2010,Samuel Eto'o Fils
Inter 2010,Goran Pandev
Inter 2010,Marco Materazzi
Inter 2010,Dejan Stanković
Inter 2010,Júlio César Soares de Espíndola
Manchester United 2008,Edwin van der Sar
Manchester United 2008,Wes Brown
Manchester United 2008,Rio Ferdinand
Manchester United 2008,Nemanja Vidić
Manchester United 2008,Patrice Evra
Manchester United 2008,Cristiano Ronaldo dos Santos Aveiro
Manchester United 2008,Michael Carrick
Manchester United 2008,Paul Scholes
Manchester United 2008,Ryan Giggs
Manchester United 2008,Carlos Alberto Tevez
Manchester United 2008,Wayne Mark Rooney
Manchester United 2008,Owen Hargreaves
Manchester United 2008,Park Ji-sung
Liverpool 2019,Alisson Ramsés Becker
Liverpool 2019,Trent Alexander-Arnold
Liverpool 2019,Virgil van Dijk
Liverpool 2019,Joël Andre Job Matip
Liverpool 2019,Andrew Robertson
Liverpool 2019,Jordan Brian Henderson
Liverpool 2019,Georginio Wijnaldum
