player,season,club,ovr,position,role,note
Virgil van Dijk,1819,Liverpool,95,Defender,Central stopper,segundo en el Balon de Oro; los datos solo tienen su 15/16 en el Southampton
Ruben Dias,2021,Manchester City,93,Defender,Central stopper,mejor jugador de la Premier
Sergio Ramos,1314,Real Madrid,93,Defender,Central stopper,
Thiago Silva,1213,Paris SG,92,Defender,Central stopper,
Kalidou Koulibaly,1718,Napoli,91,Defender,Central stopper,
Nemanja Vidic,1011,Manchester United,91,Defender,Central stopper,
Rio Ferdinand,0708,Manchester United,91,Defender,Central de salida,
Vincent Kompany,1112,Manchester City,90,Defender,Central stopper,
Diego Godin,1314,Atletico Madrid,90,Defender,Central stopper,
Mats Hummels,1314,Borussia Dortmund,90,Defender,Central de salida,
Jerome Boateng,1516,Bayern Munich,90,Defender,Central de salida,
Giorgio Chiellini,1617,Juventus,90,Defender,Central stopper,
Marquinhos,2021,Paris SG,89,Defender,Central stopper,
William Saliba,2324,Arsenal,89,Defender,Central stopper,
Philipp Lahm,1213,Bayern Munich,91,Defender,Lateral ofensivo,
Marcelo Vieira da Silva Junior,1617,Real Madrid,90,Defender,Lateral ofensivo,
Dani Alves,1415,Barcelona,90,Defender,Lateral ofensivo,
Jordi Alba,1819,Barcelona,88,Defender,Lateral ofensivo,
Andrew Robertson,1819,Liverpool,88,Defender,Lateral ofensivo,
Achraf Hakimi,2021,Internazionale,88,Defender,Lateral ofensivo,
Theo Hernandez,2122,Milan,87,Defender,Lateral ofensivo,
Manuel Neuer,1314,Bayern Munich,94,Goalkeeper,Portero,el ano del Mundial y el triplete
Thibaut Courtois,2122,Real Madrid,93,Goalkeeper,Portero,la final de Paris
Jan Oblak,1819,Atletico Madrid,92,Goalkeeper,Portero,cuarto Zamora seguido
Alisson,1819,Liverpool,92,Goalkeeper,Portero,
Marc-Andre ter Stegen,1920,Barcelona,90,Goalkeeper,Portero,
Ederson,1920,Manchester City,89,Goalkeeper,Portero,
David de Gea,1718,Manchester United,90,Goalkeeper,Portero,
Keylor Navas,1617,Real Madrid,88,Goalkeeper,Portero,
Gianluigi Donnarumma,2223,Paris SG,88,Goalkeeper,Portero,
N'Golo Kante,1617,Chelsea,92,Midfielder,Destructor,doblete de Premier en dos equipos distintos
Sergio Busquets,1415,Barcelona,91,Midfielder,Pivote organizador,
Casemiro,1617,Real Madrid,89,Midfielder,Destructor,
Fabinho,1819,Liverpool,88,Midfielder,Destructor,
Claude Makelele,0304,Real Madrid,89,Midfielder,Destructor,el rol lleva su nombre
Andrea Pirlo,1112,Juventus,92,Midfielder,Pivote organizador,
Xabi Alonso,1314,Real Madrid,89,Midfielder,Pivote organizador,
