player,display_name,notes
Lionel Andrés Messi Cuccittini,Messi,paternal surname is Messi; naive last-word truncation picks maternal surname Cuccittini
Luis Alberto Suárez Díaz,Luis Suárez,paternal surname Suárez; last word Díaz is maternal
Neymar da Silva Santos Junior,Neymar,known by first name
Ronaldo de Assis Moreira,Ronaldinho,common nickname; not derivable from legal name at all
Cristiano Ronaldo dos Santos Aveiro,Cristiano Ronaldo,commonly known by first+middle name; not surname Aveiro
Kylian Mbappé Lottin,Mbappé,paternal surname; Lottin is maternal
Samuel Eto''o Fils,Samuel Eto''o,Fils (French for son of) is not a real second surname
Daniel Alves da Silva,Dani Alves,common short form
Édson Arantes do Nascimento,Pelé,legendary nickname; not derivable from legal name
Diego Armando Maradona,Maradona,legendary; known by surname alone
Xavier Hernández Creus,Xavi,common nickname/short form
Carlos Henrique Casimiro,Casemiro,common football spelling of Casimiro
Fernando Luiz Rosa,Fernandinho,common nickname; not derivable from legal name
Fábio Henrique Tavares,Fabinho,common nickname; not derivable from legal name
Gilberto Aparecido da Silva,Gilberto Silva,common short form (drops middle name)
Anderson Luís de Souza,Deco,common nickname; not derivable from legal name
Francisco Guillermo Ochoa Magaña,Guillermo Ochoa,commonly Memo Ochoa; paternal surname Ochoa is the recognisable one
Javier Hernández Balcázar,Chicharito,common nickname; also known as Javier Hernández
Manuel Agudo Durán,Nolito,common nickname; not derivable from legal name
Pedro Eliezer Rodríguez Ledesma,Pedro,known by first name alone
David Josué Jiménez Silva,David Silva,paternal surname; clearer as first+paternal
Fernando José Torres Sanz,Fernando Torres,paternal surname; Sanz is maternal
Wayne Mark Rooney,Wayne Rooney,drop middle name
Sergio Leonel Agüero del Castillo,Sergio Agüero,paternal surname; del Castillo is maternal
Ángel Fabián Di María Hernández,Ángel Di María,paternal surname; Hernández is maternal
Paulo Bruno Exequiel Dybala,Paulo Dybala,drop middle names
Gonzalo Gerardo Higuaín,Gonzalo Higuaín,drop middle name
Romelu Lukaku Menama,Romelu Lukaku,Menama is an additional family name rarely used
Edinson Roberto Cavani Gómez,Edinson Cavani,paternal surname; Gómez is maternal
Éver Maximiliano David Banega,Éver Banega,drop middle names
Javier Alejandro Mascherano,Javier Mascherano,drop middle name
Arturo Erasmo Vidal Pardo,Arturo Vidal,paternal surname; Pardo is maternal
Alexis Alejandro Sánchez Sánchez,Alexis Sánchez,drop middle name (surname repeats on both sides)
Claudio Andrés Bravo Muñoz,Claudio Bravo,paternal surname; Muñoz is maternal
Achraf Hakimi Mouh,Achraf Hakimi,drop maternal surname
Francesc Fàbregas i Soler,Cesc Fàbregas,Cesc is the usual first-name form
Bamidele Alli,Dele Alli,commonly known as Dele Alli
James David Rodríguez Rubio,James Rodríguez,paternal surname; Rubio is maternal
Gareth Frank Bale,Gareth Bale,drop middle name
Álvaro Borja Morata Martín,Álvaro Morata,paternal surname; Martín is maternal
Mauro Emanuel Icardi Rivero,Mauro Icardi,paternal surname; Rivero is maternal
Christian Dannemann Eriksen,Christian Eriksen,drop middle name
Odion Jude Ighalo,Odion Ighalo,drop middle name
Idriss Carlos Kameni,Carlos Kaméni,commonly known as Carlos Kaméni
Diego da Silva Costa,Diego Costa,"da Silva is a connector, not a distinct display surname"
Roberto Firmino Barbosa de Oliveira,Roberto Firmino,known by first two names
Daniel Olmo Carvajal,Dani Olmo,common short form
Francisco Alcácer García,Paco Alcácer,Paco is the usual first-name form
Raúl García Escudero,Raúl García,paternal surname; Escudero is maternal
César Azpilicueta Tanco,César Azpilicueta,paternal surname; Tanco is maternal
Víctor Valdés Arribas,Víctor Valdés,paternal surname; Arribas is maternal
Filipe Luís Kasmirski,Filipe Luís,known by first two names (Brazilian convention)
José María Callejón Bueno,José Callejón,common short form
Lucas Vázquez Iglesias,Lucas Vázquez,paternal surname; Iglesias is maternal
Carlos Arturo Bacca Ahumada,Carlos Bacca,paternal surname; Ahumada is maternal
Eric-Sylvain Bilal Abidal,Eric Abidal,common short form
Gerard Moreno Balaguero,Gerard Moreno,paternal surname; Balaguero is maternal
Philippe Coutinho Correia,Philippe Coutinho,drop maternal surname
