team,player,position,started,expected_minutes,status,source,provider,provider_match_id,match_id,opponent,provider_player_id,provider_player_name
germany,manuel neuer,G,0,35,current_squad_unconfirmed,espn_team_roster,espn,760448,espn:760448,cote d ivoire,84774,Manuel Neuer
germany,oliver baumann,G,0,35,current_squad_unconfirmed,espn_team_roster,espn,760448,espn:760448,cote d ivoire,138213,Oliver Baumann
germany,alexander nubel,G,0,35,current_squad_unconfirmed,espn_team_roster,espn,760448,espn:760448,cote d ivoire,205750,Alexander Nübel
germany,nathaniel brown,D,0,35,current_squad_unconfirmed,espn_team_roster,espn,760448,espn:760448,cote d ivoire,120829,Nathaniel Brown
germany,antonio rudiger,D,0,35,current_squad_unconfirmed,espn_team_roster,espn,760448,espn:760448,cote d ivoire,169438,Antonio Rüdiger
germany,jonathan tah,D,0,35,current_squad_unconfirmed,espn_team_roster,espn,760448,espn:760448,cote d ivoire,188052,Jonathan Tah
germany,waldemar anton,D,0,35,current_squad_unconfirmed,espn_team_roster,espn,760448,espn:760448,cote d ivoire,220714,Waldemar Anton
germany,david raum,D,0,35,current_squad_unconfirmed,espn_team_roster,espn,760448,espn:760448,cote d ivoire,249548,David Raum
germany,nico schlotterbeck,D,0,35,current_squad_unconfirmed,espn_team_roster,espn,760448,espn:760448,cote d ivoire,286828,Nico Schlotterbeck
germany,malick thiaw,D,0,35,current_squad_unconfirmed,espn_team_roster,espn,760448,espn:760448,cote d ivoire,303444,Malick Thiaw
germany,pascal gross,M,0,35,current_squad_unconfirmed,espn_team_roster,espn,760448,espn:760448,cote d ivoire,132659,Pascal Gross
germany,leon goretzka,M,0,35,current_squad_unconfirmed,espn_team_roster,espn,760448,espn:760448,cote d ivoire,174550,Leon Goretzka
germany,joshua kimmich,M,0,35,current_squad_unconfirmed,espn_team_roster,espn,760448,espn:760448,cote d ivoire,190161,Joshua Kimmich
germany,nadiem amiri,M,0,35,current_squad_unconfirmed,espn_team_roster,espn,760448,espn:760448,cote d ivoire,210818,Nadiem Amiri
germany,felix nmecha,M,0,35,current_squad_unconfirmed,espn_team_roster,espn,760448,espn:760448,cote d ivoire,281122,Felix Nmecha
germany,angelo stiller,M,0,35,current_squad_unconfirmed,espn_team_roster,espn,760448,espn:760448,cote d ivoire,290232,Angelo Stiller
germany,florian wirtz,M,0,35,current_squad_unconfirmed,espn_team_roster,espn,760448,espn:760448,cote d ivoire,303748,Florian Wirtz
germany,jamal musiala,M,0,35,current_squad_unconfirmed,espn_team_roster,espn,760448,espn:760448,cote d ivoire,303821,Jamal Musiala
germany,aleksandar pavlovic,M,0,35,current_squad_unconfirmed,espn_team_roster,espn,760448,espn:760448,cote d ivoire,359370,Aleksandar Pavlovic
