logged_at,season,jornada,partido,fecha,home,away,mercado,ambito,linea,prob,seleccion
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,1X2,Total,,0.5537,1
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,Goles,Total,2.5,0.4677,UNDER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,corners,Total,7.5,0.7061,OVER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,corners,Total,8.5,0.5904,OVER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,corners,Total,9.5,0.4714,UNDER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,corners,Total,10.5,0.3532,UNDER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,corners,Total,11.5,0.2507,UNDER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,corners,Local,3.5,0.7157,OVER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,corners,Local,4.5,0.5622,OVER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,corners,Local,5.5,0.4176,UNDER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,corners,Visitante,3.5,0.5593,OVER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,corners,Visitante,4.5,0.394,UNDER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,corners,Visitante,5.5,0.2628,UNDER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,yellows,Total,2.5,0.6581,OVER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,yellows,Total,3.5,0.4515,UNDER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,yellows,Total,4.5,0.2748,UNDER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,yellows,Total,5.5,0.1501,UNDER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,yellows,Total,6.5,0.0744,UNDER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,yellows,Local,1.5,0.4323,UNDER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,yellows,Local,2.5,0.1735,UNDER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,yellows,Visitante,1.5,0.624,OVER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,yellows,Visitante,2.5,0.329,UNDER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,fouls,Total,19.5,0.8506,OVER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,fouls,Total,21.5,0.7264,OVER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,fouls,Total,23.5,0.563,OVER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,fouls,Total,25.5,0.3968,UNDER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,shots,Total,20.5,0.7703,OVER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,shots,Total,22.5,0.6441,OVER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,shots,Total,24.5,0.4997,UNDER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,shots,Total,26.5,0.3554,UNDER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,shots,Local,9.5,0.8828,OVER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,shots,Local,11.5,0.7584,OVER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,shots,Local,13.5,0.602,OVER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,shots,Visitante,9.5,0.4802,UNDER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,shots,Visitante,11.5,0.2957,UNDER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,shots,Visitante,13.5,0.1644,UNDER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,sot,Total,6.5,0.7071,OVER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,sot,Total,7.5,0.5759,OVER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,sot,Total,8.5,0.4417,UNDER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,sot,Total,9.5,0.3186,UNDER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,booking_pts,Total,30.5,0.5616,OVER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,booking_pts,Total,40.5,0.4007,UNDER
2026-07-23T12:23:58,2025-2026,38,mallorca vs oviedo,2026-05-23,mallorca,oviedo,booking_pts,Total,50.5,0.2664,UNDER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,1X2,Total,,0.5447,1
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,Goles,Total,2.5,0.4598,UNDER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,corners,Total,7.5,0.6488,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,corners,Total,8.5,0.5261,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,corners,Total,9.5,0.4113,UNDER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,corners,Total,10.5,0.2979,UNDER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,corners,Total,11.5,0.2035,UNDER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,corners,Local,3.5,0.6753,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,corners,Local,4.5,0.5158,OVER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,corners,Local,5.5,0.3723,UNDER
2026-07-23T12:23:58,2025-2026,38,girona vs elche,2026-05-23,girona,elche,corners,Visitante,3.5,0.5131,OVER
