year,winner,club
1991,Jean-Pierre Papin,Marseille
1992,Marco van Basten,AC Milan
1993,Roberto Baggio,Juventus
1994,Hristo Stoichkov,Barcelona
1995,George Weah,AC Milan
1996,Matthias Sammer,Borussia Dortmund
1997,Ronaldo Nazário,Inter Milan
1998,Zinedine Zidane,Juventus
1999,Rivaldo,Barcelona
2000,Luís Figo,Real Madrid
2001,Michael Owen,Liverpool
2002,Ronaldo Nazário,Real Madrid
2003,Pavel Nedvěd,Juventus
2004,Andriy Shevchenko,AC Milan
2005,Ronaldinho,Barcelona
2006,Fabio Cannavaro,Real Madrid
2007,Kaká,AC Milan
2008,Cristiano Ronaldo,Manchester United
2009,Lionel Messi,Barcelona
2010,Lionel Messi,Barcelona
2011,Lionel Messi,Barcelona
2012,Lionel Messi,Barcelona
2013,Cristiano Ronaldo,Real Madrid
2014,Cristiano Ronaldo,Real Madrid
2015,Lionel Messi,Barcelona
2016,Cristiano Ronaldo,Real Madrid
2017,Cristiano Ronaldo,Real Madrid
2018,Luka Modrić,Real Madrid
2019,Lionel Messi,Barcelona
2021,Lionel Messi,Paris Saint-Germain
2022,Karim Benzema,Real Madrid
2023,Lionel Messi,Paris Saint-Germain / Inter Miami
2024,Rodri,Manchester City
