match_id,date,competition,team_scope,source,team,opponent,player,position,minutes,shots,shots_on_target,fouls_committed,fouls_drawn,yellow_cards,goals,assists
ev0,2024-02-01,synthetic,club,synthetic_sample,team_a,team_b,winger one,Right Wing,80,2,1,0,1,0,1,1
ev0,2024-02-01,synthetic,club,synthetic_sample,team_a,team_b,midfield one,Center Midfield,90,1,0,1,0,1,0,0
ev0,2024-02-01,synthetic,club,synthetic_sample,team_a,team_b,fullback one,Left Back,90,1,0,1,0,0,0,0
ev0,2024-02-01,synthetic,club,synthetic_sample,team_b,team_a,winger one,Right Wing,80,2,1,0,1,0,1,1
ev0,2024-02-01,synthetic,club,synthetic_sample,team_b,team_a,midfield one,Center Midfield,90,1,0,1,0,1,0,0
ev0,2024-02-01,synthetic,club,synthetic_sample,team_b,team_a,fullback one,Left Back,90,1,0,1,0,0,0,0
ev1,2024-02-02,synthetic,club,synthetic_sample,team_a,team_b,winger one,Right Wing,80,2,0,0,1,0,0,0
ev1,2024-02-02,synthetic,club,synthetic_sample,team_a,team_b,midfield one,Center Midfield,90,0,0,1,0,0,0,0
ev1,2024-02-02,synthetic,club,synthetic_sample,team_a,team_b,fullback one,Left Back,90,0,0,0,0,0,0,0
ev1,2024-02-02,synthetic,club,synthetic_sample,team_b,team_a,winger one,Right Wing,80,2,0,0,1,0,0,0
ev1,2024-02-02,synthetic,club,synthetic_sample,team_b,team_a,midfield one,Center Midfield,90,0,0,1,0,0,0,0
ev1,2024-02-02,synthetic,club,synthetic_sample,team_b,team_a,fullback one,Left Back,90,0,0,0,0,0,0,0
ev2,2024-02-03,synthetic,club,synthetic_sample,team_a,team_b,winger one,Right Wing,80,2,1,0,1,0,0,0
ev2,2024-02-03,synthetic,club,synthetic_sample,team_a,team_b,midfield one,Center Midfield,90,0,0,1,0,0,0,0
ev2,2024-02-03,synthetic,club,synthetic_sample,team_a,team_b,fullback one,Left Back,90,0,0,0,0,0,0,0
ev2,2024-02-03,synthetic,club,synthetic_sample,team_b,team_a,winger one,Right Wing,80,2,1,0,1,0,0,0
ev2,2024-02-03,synthetic,club,synthetic_sample,team_b,team_a,midfield one,Center Midfield,90,0,0,1,0,0,0,0
ev2,2024-02-03,synthetic,club,synthetic_sample,team_b,team_a,fullback one,Left Back,90,0,0,0,0,0,0,0
ev3,2024-02-04,synthetic,club,synthetic_sample,team_a,team_b,winger one,Right Wing,80,2,0,0,1,0,0,0
ev3,2024-02-04,synthetic,club,synthetic_sample,team_a,team_b,midfield one,Center Midfield,90,1,0,1,0,0,0,0
ev3,2024-02-04,synthetic,club,synthetic_sample,team_a,team_b,fullback one,Left Back,90,1,0,0,0,0,0,0
ev3,2024-02-04,synthetic,club,synthetic_sample,team_b,team_a,winger one,Right Wing,80,2,0,0,1,0,0,0
ev3,2024-02-04,synthetic,club,synthetic_sample,team_b,team_a,midfield one,Center Midfield,90,1,0,1,0,0,0,0
ev3,2024-02-04,synthetic,club,synthetic_sample,team_b,team_a,fullback one,Left Back,90,1,0,0,0,0,0,0
ev4,2024-02-05,synthetic,club,synthetic_sample,team_a,team_b,winger one,Right Wing,80,2,1,0,1,0,0,0
ev4,2024-02-05,synthetic,club,synthetic_sample,team_a,team_b,midfield one,Center Midfield,90,0,0,1,0,0,0,0
ev4,2024-02-05,synthetic,club,synthetic_sample,team_a,team_b,fullback one,Left Back,90,0,0,1,0,0,0,0
ev4,2024-02-05,synthetic,club,synthetic_sample,team_b,team_a,winger one,Right Wing,80,2,1,0,1,0,0,0
ev4,2024-02-05,synthetic,club,synthetic_sample,team_b,team_a,midfield one,Center Midfield,90,0,0,1,0,0,0,0
ev4,2024-02-05,synthetic,club,synthetic_sample,team_b,team_a,fullback one,Left Back,90,0,0,1,0,0,0,0
ev5,2024-02-06,synthetic,club,synthetic_sample,team_a,team_b,winger one,Right Wing,80,2,0,0,1,0,0,0
ev5,2024-02-06,synthetic,club,synthetic_sample,team_a,team_b,midfield one,Center Midfield,90,0,0,1,0,1,0,0
ev5,2024-02-06,synthetic,club,synthetic_sample,team_a,team_b,fullback one,Left Back,90,0,0,0,0,0,0,0
ev5,2024-02-06,synthetic,club,synthetic_sample,team_b,team_a,winger one,Right Wing,80,2,0,0,1,0,0,0
ev5,2024-02-06,synthetic,club,synthetic_sample,team_b,team_a,midfield one,Center Midfield,90,0,0,1,0,1,0,0
ev5,2024-02-06,synthetic,club,synthetic_sample,team_b,team_a,fullback one,Left Back,90,0,0,0,0,0,0,0
ev6,2024-02-07,synthetic,club,synthetic_sample,team_a,team_b,winger one,Right Wing,80,2,1,0,1,0,0,0
ev6,2024-02-07,synthetic,club,synthetic_sample,team_a,team_b,midfield one,Center Midfield,90,1,0,1,0,0,0,0
ev6,2024-02-07,synthetic,club,synthetic_sample,team_a,team_b,fullback one,Left Back,90,1,0,0,0,0,0,0
ev6,2024-02-07,synthetic,club,synthetic_sample,team_b,team_a,winger one,Right Wing,80,2,1,0,1,0,0,0
ev6,2024-02-07,synthetic,club,synthetic_sample,team_b,team_a,midfield one,Center Midfield,90,1,0,1,0,0,0,0
ev6,2024-02-07,synthetic,club,synthetic_sample,team_b,team_a,fullback one,Left Back,90,1,0,0,0,0,0,0
ev7,2024-02-08,synthetic,club,synthetic_sample,team_a,team_b,winger one,Right Wing,80,2,0,0,1,0,0,1
ev7,2024-02-08,synthetic,club,synthetic_sample,team_a,team_b,midfield one,Center Midfield,90,0,0,1,0,0,0,0
ev7,2024-02-08,synthetic,club,synthetic_sample,team_a,team_b,fullback one,Left Back,90,0,0,0,0,0,0,0
ev7,2024-02-08,synthetic,club,synthetic_sample,team_b,team_a,winger one,Right Wing,80,2,0,0,1,0,0,1
ev7,2024-02-08,synthetic,club,synthetic_sample,team_b,team_a,midfield one,Center Midfield,90,0,0,1,0,0,0,0
ev7,2024-02-08,synthetic,club,synthetic_sample,team_b,team_a,fullback one,Left Back,90,0,0,0,0,0,0,0
ev8,2024-02-09,synthetic,club,synthetic_sample,team_a,team_b,winger one,Right Wing,80,2,1,0,1,0,1,0
ev8,2024-02-09,synthetic,club,synthetic_sample,team_a,team_b,midfield one,Center Midfield,90,0,0,1,0,0,0,0
ev8,2024-02-09,synthetic,club,synthetic_sample,team_a,team_b,fullback one,Left Back,90,0,0,1,0,0,0,0
ev8,2024-02-09,synthetic,club,synthetic_sample,team_b,team_a,winger one,Right Wing,80,2,1,0,1,0,1,0
ev8,2024-02-09,synthetic,club,synthetic_sample,team_b,team_a,midfield one,Center Midfield,90,0,0,1,0,0,0,0
ev8,2024-02-09,synthetic,club,synthetic_sample,team_b,team_a,fullback one,Left Back,90,0,0,1,0,0,0,0
ev9,2024-02-10,synthetic,club,synthetic_sample,team_a,team_b,winger one,Right Wing,80,2,0,0,1,0,0,0
ev9,2024-02-10,synthetic,club,synthetic_sample,team_a,team_b,midfield one,Center Midfield,90,1,0,1,0,0,0,0
ev9,2024-02-10,synthetic,club,synthetic_sample,team_a,team_b,fullback one,Left Back,90,1,0,0,0,0,0,0
ev9,2024-02-10,synthetic,club,synthetic_sample,team_b,team_a,winger one,Right Wing,80,2,0,0,1,0,0,0
ev9,2024-02-10,synthetic,club,synthetic_sample,team_b,team_a,midfield one,Center Midfield,90,1,0,1,0,0,0,0
ev9,2024-02-10,synthetic,club,synthetic_sample,team_b,team_a,fullback one,Left Back,90,1,0,0,0,0,0,0
ev10,2024-02-11,synthetic,club,synthetic_sample,team_a,team_b,winger one,Right Wing,80,2,1,0,1,0,0,0
ev10,2024-02-11,synthetic,club,synthetic_sample,team_a,team_b,midfield one,Center Midfield,90,0,0,1,0,1,0,0
ev10,2024-02-11,synthetic,club,synthetic_sample,team_a,team_b,fullback one,Left Back,90,0,0,0,0,0,0,0
ev10,2024-02-11,synthetic,club,synthetic_sample,team_b,team_a,winger one,Right Wing,80,2,1,0,1,0,0,0
ev10,2024-02-11,synthetic,club,synthetic_sample,team_b,team_a,midfield one,Center Midfield,90,0,0,1,0,1,0,0
ev10,2024-02-11,synthetic,club,synthetic_sample,team_b,team_a,fullback one,Left Back,90,0,0,0,0,0,0,0
ev11,2024-02-12,synthetic,club,synthetic_sample,team_a,team_b,winger one,Right Wing,80,2,0,0,1,0,0,0
ev11,2024-02-12,synthetic,club,synthetic_sample,team_a,team_b,midfield one,Center Midfield,90,0,0,1,0,0,0,0
ev11,2024-02-12,synthetic,club,synthetic_sample,team_a,team_b,fullback one,Left Back,90,0,0,0,0,0,0,0
