match_id,date,competition,season,stage,team_scope,source,home_team,away_team,home_goals,away_goals,neutral,home_xg,away_xg,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards
1,2022-11-23,World Cup,2022,Group,national,sample,Spain,Costa Rica,7.0,0.0,1.0,3.6,0.1,17.0,0.0,8.0,0.0,5.0,0.0,8.0,12.0,0.0,1.0
2,2022-11-27,World Cup,2022,Group,national,sample,Spain,Germany,1.0,1.0,1.0,0.7,1.3,7.0,11.0,3.0,4.0,6.0,5.0,13.0,11.0,1.0,2.0
3,2022-12-01,World Cup,2022,Group,national,sample,Japan,Spain,2.0,1.0,1.0,1.4,1.1,6.0,12.0,3.0,5.0,0.0,2.0,9.0,6.0,3.0,0.0
4,2022-12-02,World Cup,2022,Group,national,sample,Uruguay,Ghana,2.0,0.0,1.0,1.8,0.8,12.0,10.0,6.0,4.0,2.0,5.0,11.0,18.0,3.0,4.0
5,2022-12-06,World Cup,2022,R16,national,sample,Morocco,Spain,0.0,0.0,1.0,0.7,0.9,6.0,13.0,2.0,1.0,0.0,8.0,15.0,14.0,1.0,1.0
6,2024-06-15,Euro,2024,Group,national,sample,Spain,Croatia,3.0,0.0,1.0,2.0,1.0,11.0,16.0,5.0,5.0,5.0,0.0,14.0,13.0,1.0,2.0
7,2024-06-20,Euro,2024,Group,national,sample,Spain,Italy,1.0,0.0,1.0,2.1,0.2,20.0,4.0,8.0,1.0,5.0,2.0,17.0,14.0,1.0,2.0
8,2024-06-24,Euro,2024,Group,national,sample,Albania,Spain,0.0,1.0,1.0,0.5,1.6,10.0,16.0,3.0,3.0,2.0,6.0,6.0,15.0,2.0,1.0
9,2024-07-05,Euro,2024,QF,national,sample,Spain,Germany,2.0,1.0,1.0,1.4,1.2,18.0,23.0,6.0,5.0,1.0,5.0,17.0,22.0,3.0,8.0
10,2024-07-09,Euro,2024,SF,national,sample,Spain,France,2.0,1.0,1.0,0.8,1.1,6.0,9.0,2.0,3.0,4.0,6.0,9.0,14.0,2.0,2.0
11,2024-07-14,Euro,2024,Final,national,sample,Spain,England,2.0,1.0,1.0,1.8,0.6,16.0,9.0,6.0,4.0,10.0,2.0,11.0,5.0,1.0,3.0
12,2024-06-23,Copa America,2024,Group,national,sample,Uruguay,Panama,3.0,1.0,1.0,2.3,0.7,20.0,9.0,7.0,3.0,9.0,3.0,11.0,10.0,1.0,2.0
13,2024-06-27,Copa America,2024,Group,national,sample,Uruguay,Bolivia,5.0,0.0,1.0,3.0,0.2,18.0,5.0,9.0,1.0,4.0,1.0,9.0,12.0,0.0,2.0
14,2024-07-01,Copa America,2024,Group,national,sample,USA,Uruguay,0.0,1.0,1.0,0.6,0.9,8.0,12.0,3.0,4.0,2.0,3.0,12.0,11.0,2.0,1.0
15,2024-07-10,Copa America,2024,SF,national,sample,Uruguay,Colombia,0.0,1.0,1.0,0.7,0.8,11.0,11.0,4.0,4.0,4.0,3.0,18.0,13.0,3.0,2.0
16,2026-06-15,World Cup,2026,Group,national,sample,Spain,Cape Verde,,,,1.0,,,,,,,,,,,
17,2026-06-26,World Cup,2026,Group,national,sample,Uruguay,Spain,,,,1.0,,,,,,,,,,,
