match_id,date,team,opponent,player,position,minutes,shots,shots_on_target,fouls_committed,fouls_drawn,yellow_cards,goals,assists
6,2024-06-15,Spain,Croatia,Alvaro Morata,ST,67,3,2,1,1,0,1,0
6,2024-06-15,Spain,Croatia,Lamine Yamal,RW,86,2,1,0,2,0,0,1
6,2024-06-15,Spain,Croatia,Nico Williams,LW,68,1,0,1,3,0,0,0
7,2024-06-20,Spain,Italy,Alvaro Morata,ST,78,4,2,1,2,0,0,0
7,2024-06-20,Spain,Italy,Lamine Yamal,RW,71,3,1,0,1,0,0,0
7,2024-06-20,Spain,Italy,Nico Williams,LW,78,4,2,2,4,0,0,0
8,2024-06-24,Spain,Albania,Ferran Torres,RW,72,3,2,1,0,0,1,0
8,2024-06-24,Spain,Albania,Dani Olmo,AM,84,4,1,1,1,0,0,1
9,2024-07-05,Spain,Germany,Lamine Yamal,RW,63,1,0,1,2,1,0,0
9,2024-07-05,Spain,Germany,Nico Williams,LW,79,2,1,2,3,0,0,0
9,2024-07-05,Spain,Germany,Rodri,DM,120,1,0,3,1,1,0,0
10,2024-07-09,Spain,France,Lamine Yamal,RW,90,3,1,1,3,0,1,0
10,2024-07-09,Spain,France,Nico Williams,LW,67,1,0,1,2,0,0,0
11,2024-07-14,Spain,England,Lamine Yamal,RW,89,2,1,0,2,0,0,1
11,2024-07-14,Spain,England,Nico Williams,LW,90,3,2,1,4,0,1,0
12,2024-06-23,Uruguay,Panama,Darwin Nunez,ST,85,5,3,2,1,0,1,0
12,2024-06-23,Uruguay,Panama,Federico Valverde,CM,90,2,1,2,2,0,0,0
13,2024-06-27,Uruguay,Bolivia,Darwin Nunez,ST,83,6,4,1,1,0,1,0
13,2024-06-27,Uruguay,Bolivia,Federico Valverde,CM,90,3,1,1,1,0,0,1
14,2024-07-01,Uruguay,USA,Darwin Nunez,ST,89,3,1,2,2,1,0,0
14,2024-07-01,Uruguay,USA,Federico Valverde,CM,90,2,0,3,1,0,0,0
15,2024-07-10,Uruguay,Colombia,Darwin Nunez,ST,90,4,1,3,2,0,0,0
15,2024-07-10,Uruguay,Colombia,Federico Valverde,CM,90,2,1,4,1,1,0,0
